"MessageID","Waktu","Magnitudo","Kedalaman","Lintang","Bujur","Lokasi","Dirasakan","RawText","EventID"
"30908","22-Jan-26 17:01:20","1.8","1","4.18","97.44","23 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:1.8, 22-Jan-26 17:01:20 WIB, Lok: 4.18 LU - 97.44 BT (23 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 1 km ::BMKG","-"
"30913","22-Jan-26 18:05:19","3.4","97","4.04","93.18","274 km Barat CALANG-ACEHJAYA","","Info Gempa Mag:3.4, 22-Jan-26 18:05:19 WIB, Lok: 4.04 LU - 93.18 BT (274 km Barat CALANG-ACEHJAYA), Kedlmn: 97 km ::BMKG","-"
"30975","23-Jan-26 00:32:18","2.1","8","4.8","96.16","25 km Barat Daya KAB-PIDIEJAYA-ACEH","","Info Gempa Mag:2.1, 23-Jan-26 00:32:18 WIB, Lok: 4.80 LU - 96.16 BT (25 km Barat Daya KAB-PIDIEJAYA-ACEH), Kedlmn: 8 km ::BMKG","-"
"30987","23-Jan-26 01:47:18","1.6","4","4.77","95.95","43 km Timur CALANG-ACEHJAYA","","Info Gempa Mag:1.6, 23-Jan-26 01:47:18 WIB, Lok: 4.77 LU - 95.95 BT (43 km Timur CALANG-ACEHJAYA), Kedlmn: 4 km ::BMKG","-"
"30993","23-Jan-26 02:32:12","2.4","10","4.75","96.75","12 km Barat KAB-BENERMERIAH-ACEH","Bener Meriah, Aceh Tengah III MMI","Info Gempa Mag:2.4, 23-Jan-26 02:32:12 WIB, Lok: 4.75 LU - 96.75 BT (12 km Barat KAB-BENERMERIAH-ACEH), Kedlmn: 10 km ::BMKG","-"
"31041","23-Jan-26 13:19:58","2.3","50","4.03","95.89","29 km Barat Daya MEULABOH-ACEHBARAT","","Info Gempa Mag:2.3, 23-Jan-26 13:19:58 WIB, Lok: 4.03 LU - 95.89 BT (29 km Barat Daya MEULABOH-ACEHBARAT), Kedlmn: 50 km ::BMKG","-"
"31000","24-Jan-26 03:45:58","2.1","2","4.14","97.43","19 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.1, 24-Jan-26 03:45:58 WIB, Lok: 4.14 LU - 97.43 BT (19 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 2 km ::BMKG",""
"31001","24-Jan-26 06:25:39","2.1","5","4.93","96.04","28 km Barat KAB-PIDIEJAYA-ACEH","","Info Gempa Mag:2.1, 24-Jan-26 06:25:39 WIB, Lok: 4.93 LU - 96.04 BT (28 km Barat KAB-PIDIEJAYA-ACEH), Kedlmn: 5 km ::BMKG",""
"31238","25-Jan-26 01:24:32","2.2","10","3.44","96.22","78 km Selatan MEULABOH-ACEHBARAT","","Info Gempa Mag:2.2, 25-Jan-26 01:24:32 WIB, Lok: 3.44 LU - 96.22 BT (78 km Selatan MEULABOH-ACEHBARAT), Kedlmn: 10 km ::BMKG",""
"31301","25-Jan-26 11:15:50","2.1","1","4.18","97.44","23 km Timur Laut KAB-GAYOLUES-ACEH","","Info Gempa Mag:2.1, 25-Jan-26 11:15:50 WIB, Lok: 4.18 LU - 97.44 BT (23 km Timur Laut KAB-GAYOLUES-ACEH), Kedlmn: 1 km ::BMKG",""
